Time,Strain_Energy,Surface_Energy,crack_tip_x,crack_tip_y
1e-08,0.0,0.0,0.049,0.025
2e-08,1.0540797260865622e-05,3.3428710583701627e-19,0.049,0.025
3.0000000000000004e-08,9.324599911092072e-05,2.6998916834655258e-17,0.049,0.025
4e-08,0.0003649257667933916,4.352598908514673e-16,0.049,0.025
5e-08,0.000987552590082886,3.4298607567146787e-15,0.049,0.025
6.000000000000001e-08,0.0021563925481684573,1.803733466269062e-14,0.049,0.025
7e-08,0.004088021131243885,7.35097804665354e-14,0.049,0.025
8e-08,0.0070098534950647365,2.52599423005829e-13,0.049,0.025
9e-08,0.011152427995361643,7.700454436800537e-13,0.049,0.025
1e-07,0.01674508902380393,2.1447468113988965e-12,0.049,0.025
1.1e-07,0.024015048308816105,5.5367214079162124e-12,0.049,0.025
1.2000000000000002e-07,0.033189199601651176,1.331174484614233e-11,0.049,0.025
1.3e-07,0.04449763582103945,2.981725722463126e-11,0.049,0.025
1.4e-07,0.058177641336151505,6.21990089409314e-11,0.049,0.025
1.5e-07,0.0744770186993568,1.2095035917018622e-10,0.049,0.025
1.6e-07,0.0936559156361059,2.1995614589240773e-10,0.049,0.025
1.7000000000000001e-07,0.11598675800814785,3.7621196149092133e-10,0.049,0.025
1.8e-07,0.141752360420788,6.100756007727424e-10,0.049,0.025
1.9e-07,0.17124267548368458,9.472973257642725e-10,0.049,0.025
2e-07,0.20475088021222015,1.4233783933931953e-09,0.049,0.025
2.1e-07,0.2425695504991496,2.088530698564252e-09,0.049,0.025
2.2e-07,0.2849875545655146,3.009927790627173e-09,0.049,0.025
2.3e-07,0.3322880547147844,4.269900332295239e-09,0.049,0.025
2.4000000000000003e-07,0.3847477168777621,5.95954240770894e-09,0.049,0.025
2.5e-07,0.44263696505401184,8.176427343982446e-09,0.049,0.025
2.6e-07,0.5062209422624829,1.102309198202008e-08,0.049,0.025
2.7e-07,0.5757607808472643,1.4621994772434089e-08,0.049,0.025
2.8e-07,0.6515148391942572,1.9122943484057896e-08,0.049,0.025
2.9000000000000003e-07,0.7337396955941426,2.4708587620612018e-08,0.049,0.025
3e-07,0.8226908525930272,3.160124130061681e-08,0.049,0.025
3.1e-07,0.9186232438115468,4.007585260013322e-08,0.049,0.025
3.2e-07,1.0217917097595843,5.047830331022851e-08,0.049,0.025
3.3e-07,1.1324516023385898,6.324584313789415e-08,0.049,0.025
3.4000000000000003e-07,1.2508595983651307,7.892220854586109e-08,0.049,0.025
3.5e-07,1.377274681293039,9.817030865258674e-08,0.049,0.025
3.6e-07,1.5119591300028101,1.2178186909015792e-07,0.049,0.025
3.7e-07,1.6551792755120298,1.5067903473169037e-07,0.049,0.025
3.8e-07,1.807205779000667,1.8590817065019894e-07,0.049,0.025
3.9e-07,1.9683132547764752,2.286222875006695e-07,0.049,0.025
4e-07,2.1387791938587473,2.800522227482757e-07,0.049,0.025
4.1e-07,2.3188823035637065,3.4148302918259716e-07,0.049,0.025
4.2e-07,2.5089005231827555,4.1424538118332617e-07,0.049,0.025
4.3e-07,2.7091090660764907,4.996972317381761e-07,0.049,0.025
4.4e-07,2.919778848760322,5.99201905541168e-07,0.049,0.025
4.5000000000000003e-07,3.141175593559939,7.141246896919267e-07,0.049,0.025
4.6e-07,3.373559750951399,8.458385145860641e-07,0.049,0.025
4.7e-07,3.6171872152788507,9.957673946729073e-07,0.049,0.025
4.800000000000001e-07,3.8723106462397365,1.165415376938621e-06,0.049,0.025
4.9e-07,4.139181096922853,1.3563726609049842e-06,0.049,0.025
5e-07,4.418049613010081,1.5703301292985664e-06,0.049,0.025
5.1e-07,4.709168512608996,1.809099098412995e-06,0.049,0.025
5.2e-07,5.012792166297043,2.074649495708016e-06,0.049,0.025
5.3e-07,5.329177240744178,2.36916361033884e-06,0.049,0.025
5.4e-07,5.658582507343089,2.6950775620911437e-06,0.049,0.025
5.5e-07,6.001268413345542,3.055137371703175e-06,0.049,0.025
5.6e-07,6.357496644005257,3.4523932991998245e-06,0.049,0.025
5.7e-07,6.727529864264958,3.890298720892417e-06,0.049,0.025
5.800000000000001e-07,7.111631734022831,4.372728192937622e-06,0.049,0.025
5.9e-07,7.510067169028403,4.904056654024454e-06,0.049,0.025
6e-07,7.923102708917441,5.489143810271432e-06,0.049,0.025
6.1e-07,8.351006785656292,6.1333009237778976e-06,0.049,0.025
6.2e-07,8.794049681972632,6.842313104255055e-06,0.049,0.025
6.3e-07,9.252503033301203,7.6224046205281076e-06,0.049,0.025
6.4e-07,9.726638841391814,8.480220393966417e-06,0.049,0.025
6.5e-07,10.216728104287146,9.422835342532063e-06,0.049,0.025
6.6e-07,10.723039288755912,1.0457732378153532e-05,0.049,0.025
6.7e-07,11.245836943598858,1.1592883949024376e-05,0.049,0.025
6.800000000000001e-07,11.785380755744175,1.2836745069848102e-05,0.049,0.025
6.900000000000001e-07,12.341925279498437,1.4198404321645644e-05,0.049,0.025
7e-07,12.91572044117142,1.5687614972919604e-05,0.049,0.025
7.1e-07,13.50701276265745,1.731488078468333e-05,0.049,0.025
7.2e-07,14.116047098876445,1.9091575073457598e-05,0.049,0.025
7.3e-07,14.743068579261823,2.1029893673033414e-05,0.049,0.025
7.4e-07,15.388324406134943,2.314272781488073e-05,0.049,0.025
7.5e-07,16.052065201757703,2.544359137194663e-05,0.049,0.025
7.6e-07,16.734545700311934,2.7946600744130568e-05,0.049,0.025
7.7e-07,17.43602472425105,3.0666386704853775e-05,0.049,0.025
7.8e-07,18.156764531148212,3.3617949722735405e-05,0.049,0.025
7.900000000000001e-07,18.89702973277813,3.681677853325912e-05,0.049,0.025
8e-07,19.65708604971675,4.0278736060546325e-05,0.049,0.025
8.1e-07,20.43719915530911,4.402027928158196e-05,0.049,0.025
8.2e-07,21.237633797168833,4.805840839347696e-05,0.049,0.025
8.3e-07,22.05865327522949,5.2410727266482525e-05,0.049,0.025
8.4e-07,22.90051924043026,5.7095546980966917e-05,0.049,0.025
8.5e-07,23.763491685841128,6.213179957015942e-05,0.049,0.025
8.6e-07,24.64782895603384,6.753900087622457e-05,0.049,0.025
8.7e-07,25.55378761480152,7.33372039381474e-05,0.049,0.025
8.8e-07,26.48162207822522,7.954722833692794e-05,0.049,0.025
8.900000000000001e-07,27.431584023589934,8.619074831851158e-05,0.049,0.025
9.000000000000001e-07,28.40392169206446,9.329005699776188e-05,0.049,0.025
9.1e-07,29.398879284051535,0.00010086827579434591,0.049,0.025
9.2e-07,30.416696682703407,0.00010894936625954692,0.049,0.025
9.3e-07,31.457609710887805,0.00011755844637885642,0.049,0.025
9.4e-07,32.52185104352088,0.00012672170187281298,0.049,0.025
