Time,Strain_Energy,Surface_Energy,Impactor_KE,Domain_KE,Imp_disp,dom_hit_disp
0.0,0.0,0.0,8022.725120002163,0.0,0.0,0.0
0.01,0.0,0.0,8022.696156938164,3.2862925761111e-05,3.2000000000005273e-07,0.0
0.02,1.0352836660639824e-06,1.6572121162819694e-17,8022.5855533423655,0.0007606123356847952,6.399988447580855e-07,1.4523498534566195e-09
0.030000000000000002,2.3919614686983448e-05,8.765973677297318e-15,8022.355060618306,0.005320119454203707,9.599944331229637e-07,6.9871409276746064e-09
0.04,0.00019416520150057474,5.703270149297258e-13,8021.979908684972,0.021421739750500508,1.2799840841416884e-06,1.99312773881201e-08
0.049999999999999996,0.0009461811864566009,1.332337023060751e-11,8021.443111538076,0.06282070696105947,1.59996470841535e-06,4.406703102231437e-08
0.060000000000000005,0.0033783800987182365,1.6645464052510678e-10,8020.734456116692,0.14976734719910462,1.9199329470166114e-06,8.342803755379545e-08
0.07,0.009756990410793632,1.3551047264883877e-09,8019.8502449643065,0.30817201890282864,2.239885302483637e-06,1.4210363569473974e-07
0.08,0.02412538525487141,8.051963269279779e-09,8018.793159963688,0.5673996394894937,2.559818267474801e-06,2.2404620712100464e-07
0.09,0.05293440225775306,3.7503432372308277e-08,8017.572020695004,0.9568434433374716,2.879728450367182e-06,3.3288404497740345e-07
0.09999999999999999,0.1055758921650809,1.4363211260611508e-07,8016.201338560184,1.5016761167200217,3.1996126943522233e-06,4.717456834025424e-07
0.11,0.19468503133454837,4.6776694837721136e-07,8014.70062942279,2.218386461772886,3.5194681853582526e-06,6.431030363450052e-07
0.12000000000000001,0.33608325445886045,1.3274517251806854e-06,8013.093489465401,3.110830200483053,3.839292543858733e-06,8.486408602473978e-07
0.13,0.5482657515328073,3.3431896693898983e-06,8011.406470290393,4.167517344168491,4.159083896063003e-06,1.0891592732039474e-06
0.14,0.8513931444628638,7.5776386653405674e-06,8009.667813329325,5.3607135062297715,4.478840920969451e-06,1.3645145304471512e-06
0.15,1.2658189365106403,1.5627016615648464e-05,8007.906119493672,6.647666826201957,4.798562871154354e-06,1.6736011678167893e-06
0.16,1.810261247273014,2.9576375524685335e-05,8006.149038400585,7.973932360314099,5.118249566794551e-06,2.0143762007055943e-06
0.17,2.49979580826152,5.1733562466914835e-05,8004.422059987205,9.278417105444024,5.4379013641540985e-06,2.3839235452398165e-06
0.18,3.3438944406662388,8.411249683713054e-05,8002.747482463533,10.499480168269855,5.757519101340076e-06,2.7785544521957166e-06
0.19,4.3447498224897325,0.0001277461014261997,8001.143614573051,11.581250332946786,6.077104025514993e-06,3.193937731766653e-06
0.19999999999999998,5.496109162255508,0.00018204323542154668,7999.624247694689,12.479298270783548,6.396657706700278e-06,3.625252074062444e-06
0.21,6.782788387326939,0.00024462670077608713,7998.198410277466,13.164922004270498,6.716181943792222e-06,4.06735195012338e-06
0.22,8.18096304462596,0.0003117205040885362,7996.870392972128,13.627541238878102,7.035678668438881e-06,4.514938455314989e-06
0.22999999999999998,9.659243446990935,0.0003787997131478125,7995.640010326154,13.874997332270848,7.355149851950368e-06,4.962727001609791e-06
0.24000000000000002,11.180449672835174,0.00044423738009216726,7994.503047993589,13.931861809293515,7.674597419537515e-06,5.405604884819926e-06
0.25,12.703921926288372,0.0005235470833168543,7993.451833125207,13.83611319177743,7.994023175017135e-06,5.838773325786108e-06
0.26,14.188211987455464,0.0006181280226603462,7992.475861002405,13.63471352450539,8.313428737791007e-06,6.257870453287915e-06
0.27,15.593822779049953,0.000728321902935101,7991.562412911221,13.378690936648567,8.632815492560862e-06,6.659073326528489e-06
0.28,16.88581470529093,0.0008540478122791414,7990.697111594542,13.118306398911475,8.95218455098324e-06,7.039179055089515e-06
0.29000000000000004,18.03605633168264,0.00099493931534007,7989.8643777652,12.898782919764464,9.271536723578755e-06,7.39566641103883e-06
0.3,19.024949668318023,0.001151238778233477,7989.047772710612,12.756938468487302,9.590872499633716e-06,7.726740186686881e-06
0.31,19.842514068164785,0.0013226985854690343,7988.230237785447,12.718921521548952,9.910192032805786e-06,8.031360784296074e-06
0.32,20.48877005452621,0.0015101024364896096,7987.3942643763485,12.799118035905323,1.0229495130599562e-05,8.309261073626152e-06
0.33,20.97343441492552,0.0017152716714335242,7986.522044594715,13.000216279403901,1.0548781246763704e-05,8.560951783631687e-06
0.34,21.31492390846739,0.0019395838242566375,7985.59565822244,13.314380293385078,1.0868049476781301e-05,8.787715154825776e-06
